gameType,countGrinder,countObnoxious,countWhale,countLowStakes,avgBankroll,candidateBehaviorStyle,candidateBankrollStyle,candidateBalance,deltaMood,deltaProfit
Blackjack,0,0,0,0,0.0000,LOW_STAKES,LOW_ROLLER,202,0.0,25.483333333333334
Roulette,2,0,3,0,14387.8000,GRINDER,EVEN_STEVEN,617,0.022531,-2297.5866666666666
Poker,0,0,0,0,0.0000,GRINDER,EVEN_STEVEN,1629,0.0,0.0
Craps,0,0,1,0,19310.0000,LOW_STAKES,EVEN_STEVEN,1648,-0.172801,4249.1866666666665
Blackjack,0,0,1,1,8938.0000,GRINDER,EVEN_STEVEN,880,-0.038273,943.76
Craps,2,1,0,2,3277.2000,WHALE,HIGH_ROLLER,13872,0.011560999999999998,6445.56
Poker,1,3,0,0,2656.2500,OBNOXIOUS,LOW_ROLLER,511,-0.0015856666666666669,138.25333333333333
Blackjack,0,1,0,0,206.0000,LOW_STAKES,EVEN_STEVEN,1357,0.05504900000000001,251.41
Blackjack,0,1,0,0,221.0000,LOW_STAKES,EVEN_STEVEN,1396,-0.010429666666666667,311.0933333333333
Craps,0,0,0,1,256.0000,WHALE,HIGH_ROLLER,6682,-0.016339999999999997,3080.6633333333334
Roulette,0,0,1,1,4522.5000,GRINDER,EVEN_STEVEN,476,-0.043275999999999995,1815.9633333333334
Poker,2,0,0,0,1437.0000,GRINDER,EVEN_STEVEN,538,-0.028269333333333334,101.90333333333334
Craps,1,0,0,0,452.0000,OBNOXIOUS,EVEN_STEVEN,661,-0.031051000000000002,-21.776666666666667
Poker,1,1,0,2,6778.5000,OBNOXIOUS,LOW_ROLLER,491,-0.040113333333333334,168.98333333333332
Roulette,1,1,0,2,12115.5000,WHALE,HIGH_ROLLER,10881,0.07277966666666667,-3230.41
Roulette,2,0,1,0,11526.3333,WHALE,HIGH_ROLLER,14343,0.012374333333333336,2218.71
Roulette,0,1,2,0,7297.6667,GRINDER,EVEN_STEVEN,616,0.019173666666666665,-1917.9766666666667
Poker,3,1,2,1,12010.1429,OBNOXIOUS,EVEN_STEVEN,704,-0.022066333333333334,96.38
Roulette,1,0,0,0,14656.0000,WHALE,HIGH_ROLLER,13053,0.11149033333333333,772.7333333333333
Craps,1,3,0,1,8501.6000,OBNOXIOUS,EVEN_STEVEN,1642,0.004438999999999999,-437.15
Craps,0,0,0,1,683.0000,GRINDER,EVEN_STEVEN,857,-0.033921,145.19
Roulette,2,0,2,1,5018.2000,GRINDER,HIGH_ROLLER,19073,0.022575666666666664,-273.5366666666667
Blackjack,0,0,2,1,11230.3333,OBNOXIOUS,HIGH_ROLLER,18500,0.009540666666666668,-2529.37
Roulette,0,1,0,0,18948.0000,GRINDER,HIGH_ROLLER,4596,-0.066055,2577.17
Blackjack,0,1,0,0,6585.0000,WHALE,HIGH_ROLLER,7700,-0.05675966666666666,3575.97
Craps,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,217,0.0,10.056666666666667
Poker,0,0,0,0,0.0000,OBNOXIOUS,LOW_ROLLER,155,0.0,0.0
Blackjack,0,0,0,1,254.0000,OBNOXIOUS,EVEN_STEVEN,1482,-0.161497,-32.946666666666665
Roulette,1,0,1,1,1835.3333,LOW_STAKES,EVEN_STEVEN,751,0.0034599999999999987,-1021.44
Craps,1,0,1,0,9612.5000,WHALE,HIGH_ROLLER,23213,0.013675666666666666,15116.33
Blackjack,2,0,0,1,12874.6667,GRINDER,EVEN_STEVEN,1584,0.019921666666666667,-2168.7433333333333
Poker,2,1,1,0,3817.0000,GRINDER,HIGH_ROLLER,11683,-0.04566966666666667,1426.4433333333334
Poker,3,0,0,3,3955.0000,GRINDER,HIGH_ROLLER,14415,-0.012451666666666666,2256.22
Blackjack,1,1,1,0,9401.6667,LOW_STAKES,EVEN_STEVEN,735,-0.029322333333333332,1936.8433333333332
Blackjack,0,1,0,0,204.0000,GRINDER,EVEN_STEVEN,702,-0.10594866666666668,9.656666666666666
Craps,0,0,2,0,16444.5000,GRINDER,EVEN_STEVEN,1569,-0.008823999999999999,68.68666666666667
Craps,0,2,0,1,4164.0000,LOW_STAKES,EVEN_STEVEN,1368,0.028766,1259.4
Roulette,1,3,0,0,2593.2500,OBNOXIOUS,EVEN_STEVEN,1629,-0.000924333333333332,464.87
Roulette,1,1,0,0,992.0000,GRINDER,HIGH_ROLLER,3036,-0.013994999999999997,339.21
Roulette,0,0,0,0,0.0000,OBNOXIOUS,EVEN_STEVEN,1581,0.0,487.55
Craps,4,2,1,0,6958.1429,OBNOXIOUS,LOW_ROLLER,555,-0.006387333333333333,61.53
Roulette,1,0,0,0,1656.0000,WHALE,HIGH_ROLLER,14126,0.10753633333333333,1290.0266666666666
Poker,0,3,2,1,5476.1667,OBNOXIOUS,LOW_ROLLER,470,-0.014947666666666666,204.51333333333332
Poker,1,0,1,2,6848.5000,LOW_STAKES,EVEN_STEVEN,468,-0.026555000000000002,64.88333333333334
Roulette,2,2,0,1,3302.2000,OBNOXIOUS,HIGH_ROLLER,13950,-0.030671666666666663,6549.606666666667
Roulette,1,1,0,1,996.0000,GRINDER,HIGH_ROLLER,6571,-0.002535666666666667,849.46
Roulette,1,0,0,0,18373.0000,OBNOXIOUS,LOW_ROLLER,285,-0.07032433333333334,-600.1133333333333
Craps,1,1,1,1,2795.7500,LOW_STAKES,EVEN_STEVEN,1781,0.010360333333333334,841.0066666666667
Blackjack,0,0,0,2,984.5000,GRINDER,EVEN_STEVEN,1625,-0.04618533333333333,29.28
Blackjack,0,0,0,0,0.0000,GRINDER,HIGH_ROLLER,11093,0.0,75.82
Poker,0,0,0,0,0.0000,OBNOXIOUS,EVEN_STEVEN,1545,0.0,0.0
Craps,1,0,0,0,24024.0000,GRINDER,EVEN_STEVEN,641,0.04570766666666667,-2138.883333333333
Poker,3,1,1,0,3194.6000,LOW_STAKES,LOW_ROLLER,337,-0.009798999999999997,71.86333333333333
Roulette,1,1,1,1,7901.7500,GRINDER,EVEN_STEVEN,1022,0.032378,-1719.5333333333333
Craps,2,1,0,2,3625.8000,WHALE,HIGH_ROLLER,11245,0.011296333333333335,3312.8166666666666
Craps,1,3,1,2,8990.0000,LOW_STAKES,EVEN_STEVEN,577,-0.0004116666666666661,2843.4366666666665
Poker,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,8921,0.0,0.0
Craps,1,1,3,2,7215.5714,GRINDER,EVEN_STEVEN,1216,-0.03556666666666666,4306.28
Blackjack,3,0,0,1,9986.2500,WHALE,HIGH_ROLLER,8177,0.019267333333333334,3662.7833333333333
Blackjack,0,2,1,0,2351.6667,OBNOXIOUS,EVEN_STEVEN,1689,-0.01187166666666667,-15.836666666666666
Roulette,1,0,0,4,5625.8000,WHALE,HIGH_ROLLER,17392,0.028841000000000002,1964.11
Roulette,0,1,1,0,15951.5000,OBNOXIOUS,LOW_ROLLER,463,-0.033684000000000006,324.9066666666667
Craps,3,1,1,1,7874.3333,WHALE,HIGH_ROLLER,21340,0.006098333333333333,12916.603333333333
Blackjack,1,1,1,1,10655.0000,WHALE,HIGH_ROLLER,20368,0.035710000000000006,7077.973333333333
Craps,0,0,0,0,0.0000,GRINDER,HIGH_ROLLER,20906,0.0,1935.7333333333333
Roulette,0,1,1,0,18778.5000,OBNOXIOUS,EVEN_STEVEN,1608,-0.07770066666666667,114.04333333333334
Roulette,0,0,0,0,0.0000,WHALE,HIGH_ROLLER,8482,0.0,669.4366666666666
Blackjack,1,0,0,0,1241.0000,LOW_STAKES,LOW_ROLLER,413,0.018267666666666665,-90.72333333333333
Craps,1,0,0,1,639.0000,OBNOXIOUS,EVEN_STEVEN,800,-0.030115,-6.466666666666667
